Study_ID,AUTHORS,TITLE,JOURNAL,YEAR,VOLUME,NUMBER,PAGES,PUBLISHER,ADDRESS,ISSN,DOI_OR_LINK,PUBLICATION_TYPE
1227,"Halloran, ME; Bekoff, M",Home range use by Abert squirrels: A comparative analysis,Southwestern Naturalist,2000,45,3,253-257,SOUTHWESTERN ASSOC NATURALISTS,"SOUTHWEST TEXAS STATE UNIV, DEPT BIOLOGY, 601 UNIVERSITY DR, SAN MARCOS",0038-4909,10.2307/3672827,Article
1228,"Houser, A; Somers, MJ; Boast, LK",Home range use of free-ranging cheetah on farm and conservation land in Botswana,South African Journal Of Wildlife Research,2009,39,1,Nov/22,SOUTHERN AFRICAN WILDLIFE MANAGEMENT ASSOC,"P O BOX 217, BLOUBERGSTRAND 7437, SOUTH AFRICA",0379-4369,10.3957/056.039.0102,Article
1229,"Slater, K; Barrett, A; Brown, LR","Home range utilization by chacma baboon (Papio ursinus) troops on Suikerbosrand Nature Reserve, South Africa",Plos One,2018,13,3,NA,PUBLIC LIBRARY SCIENCE,"1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA",1932-6203,10.1371/journal.pone.0194717,Article
1230,"Cheyne, SM; Capilla, BR; Abdulaziz, K; Supiansyah; Adul; Cahyaningrum, E; Smith, DE",Home range variation and site fidelity of Bornean southern gibbons [Hylobates albibarbis] from 2010-2018,Plos One,2019,14,7,NA,PUBLIC LIBRARY SCIENCE,"1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA",1932-6203,10.1371/journal.pone.0217784,Article
1231,"Fan, PL; Li, YM; Stanford, CB; Li, F; Liu, ZT; Yang, KH; Liu, XC","Home range variation of two different-sized groups of golden snub-nosed monkeys (Rhinopithecus roxellana) in Shennongjia, China: implications for feeding competition",Zoological Research,2019,40,2,121-128,SCIENCE PRESS,"16 DONGHUANGCHENGGEN NORTH ST, BEIJING 100717, PEOPLES R CHINA",2095-8137,10.24272/j.issn.2095-8137.2018.044,Article
1232,"Goddard, J.","Home range, behaviour, and recruitment rates of two black rhinoceros populations East African Wildlife Journal 5:133-150.",African Journal Of Ecology,1967,5,1,133--150,Wiley Online Library,NA,NA,https://doi.org/10.1111/j.1365-2028.1967.tb00768.x,Article
1233,"Pietersen, DW; McKechnie, AE; Jansen, R","Home range, habitat selection and activity patterns of an arid-zone population of Temminck's ground pangolins, Smutsia temminckii",African Zoology,2014,49,2,265-276,TAYLOR \& FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND",1562-7020,10.3377/004.049.0215,Article
1234,"White, JG; Gubiani, R; Smallman, N; Snell, K; Morton, A","Home range, habitat selection and diet of foxes (Vulpes vulpes) in a semi-urban riparian environment",Wildlife Research,2006,33,3,175-180,CSIRO PUBLISHING,"150 OXFORD ST, PO BOX 1139, COLLINGWOOD, VICTORIA 3066, AUSTRALIA",1035-3712,10.1071/WR05037,Article
1235,"Wong, ST; Servheen, CW; Ambu, L","Home range, movement and activity patterns, and bedding sites of Malayan sun bears Helarctos malayanus in the Rainforest of Borneo",Biological Conservation,2004,119,2,169-181,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0006-3207,10.1016/j.biocon.2003.10.029,Article
1236,"Leuthold, W.","Home range, movements and food of a buffalo herd in Tsavo National Park East African Wildlife Journal 10:237-243.",African Journal Of Ecology,1972,10,3,237--243,Wiley Online Library,NA,NA,https://doi.org/10.1111/j.1365-2028.1972.tb00731.x,Article
1237,"HARVEY, MJ","HOME RANGE, MOVEMENTS, AND DIEL ACTIVITY OF EASTERN MOLE, SCALOPUS-AQUATICUS",American Midland Naturalist,1976,95,2,436-445,AMER MIDLAND NATURALIST,"UNIV NOTRE DAME, BOX 369, ROOM 295 GLSC, NOTRE DAME, IN 46556",0003-0031,10.2307/2424406,Article
1238,"Rosatte, R; Kelly, P; Power, M","Home Range, Movements, and Habitat Utilization of Striped Skunk (Mephitis mephitis) in Scarborough, Ontario, Canada: Disease Management Implications",Canadian Field-Naturalist,2011,125,1,27-33,OTTAWA FIELD-NATURALISTS CLUB,"PO BOX 35069, WESTGATE PO, OTTAWA, ONTARIO K1Z 1A2, CANADA",0008-3550,10.22621/cfn.v125i1.1121,Article
1239,"Schweinsburg, R. E.","Home range, movements, and herd integrity of the collared peccary. Journal of Wildlife Management 35:45-460",The Journal Of Wildlife Management,1971,NA,NA,455--460,JSTOR,NA,NA,10.2307/3799698,Article
1240,"Beck-King, H; von Helversen, O; Beck-King, R","Home range, population density, and food resources of Agouti paca (Rodentia : Agoutidae) in Costa Rica: A study using alternative methods",Biotropica,1999,31,4,675-685,ASSOC TROPICAL BIOLOGY INC,"810 EAST 10TH ST, LAWRENCE, KS 66044 USA",0006-3606,10.1111/j.1744-7429.1999.tb00417.x,Article
1241,"Cuthbert, R; Sommer, E","Home range, territorial behaviour and habitat use of stoats (Mustela erminea) in a colony of Hutton's shearwater (Puffinus huttoni), New Zealand",New Zealand Journal Of Zoology,2002,29,2,149-160,SIR PUBLISHING,"PO BOX 399, WELLINGTON, NEW ZEALAND",0301-4223,10.1080/03014223.2002.9518298,Article
1242,"Hawes, M. L.","Home range, territoriality, and ecological separation in sympatric shrews, Sorex vagrans and Sorex obscurus Journal of Mammalogy 58:354-367.",Journal Of Mammalogy,1977,58,3,354-367,AMER SOC MAMMALOGISTS,"BRIGHAM YOUNG UNIV, DEPT OF ZOOLOGY, PROVO, UT 84602",0022-2372,10.2307/1379334,Article
1243,"BERGSTEDT, B",HOME RANGES AND MOVEMENTS OF RODENT SPECIES CLETHRIONOMYS GLAREOLUS (SCHREBER) APODEMUS FLAVICOLLIS (MELCHIOR) AND APODEMUS SYLVATICUS (LINNE) IN SOUTHERN SWEDEN,Oikos,1966,17,2,150+,WILEY-BLACKWELL,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0030-1299,10.2307/3564939,Article
1244,"Ribble, DO; Stanley, S",Home ranges and social organization of syntopic Peromyscus boylii and P-truei,Journal Of Mammalogy,1998,79,3,932--941,"American Society of Mammalogists 810 East 10th Street, PO Box 1897, Lawrence~…",NA,NA,10.2307/1383101,Article
1245,"Weir, RD; Harestad, AS; Corbould, FB","Home Ranges and Spatial Organization of Fishers, Martes pennanti, in Central British Columbia",The Canadian Field-Naturalist,2009,123,2,126--132,NA,NA,NA,10.22621/cfn.v123i2.690,Article
1246,"Auger-Methe, M; Lewis, MA; Derocher, AE",Home ranges in moving habitats: polar bears and sea ice,Ecography,2016,39,1,26-35,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0906-7590,10.1111/ecog.01260,Article
1247,"Bergstrom, B. J.",Home Ranges of 3 Species of Chipmunks (Tamias) as Assessed by Radiotelemetry and Grid Trapping Journal of Mammalogy 69:190-193.,Journal Of Mammalogy,1988,69,1,190-193,AMER SOC MAMMALOGISTS,"BRIGHAM YOUNG UNIV, DEPT OF ZOOLOGY, PROVO, UT 84602",0022-2372,10.2307/1381774,Note
1248,"Hwang, MH; Garshelis, DL; Wu, YH; Wang, Y",Home ranges of Asiatic black bears in the Central Mountains of Taiwan: Gauging whether a reserve is big enough,Ursus,2010,21,1,81-96,INT ASSOC BEAR RESEARCH \& MANAGEMENT-IBA,"C/O TERRY WHITE, UNIV TENNESSEE, DEPT FORESTRY, WILDLIFE \& FISHERIES",1537-6176,10.2192/09GR024.1,Article
1249,"Ngcobo, SP; Wilson, AL; Downs, CT","Home ranges of Cape porcupines on farmlands, peri-urban and suburban areas in KwaZulu-Natal, South Africa",Mammalian Biology,2019,96,NA,102-109,ELSEVIER GMBH,"HACKERBRUCKE 6, 80335 MUNICH, GERMANY",1616-5047,10.1016/j.mambio.2018.10.006,Article
1250,"Redman, J. P., and J. A. Sealander.",Home ranges of deer mice in southern Arkansas Journal of Mammalogy 39:390-395.,Journal Of Mammalogy,1958,39,3,390--395,"American Society of Mammalogists 810 East 10th Street, PO Box 1897, Lawrence~…",NA,NA,https://doi.org/10.2307/1376149,Article
1251,"Okarma, H; Sniezko, S; Smietana, W",Home ranges of Eurasian lynx Lynx lynx in the Polish Carpathian Mountains,Wildlife Biology,2007,13,4,481-487,WILDLIFE BIOLOGY,"C/O JAN BERTELSEN, GRENAAVEJ 14, KALO, DK-8410 RONDE, DENMARK",0909-6396,10.2981/0909-6396(2007)13[481:HROELL]2.0.CO;2,Article
1252,"Sutor, A; Schwarz, S","Home ranges of raccoon dogs (Nyctereutes procyonoides, Gray, 1834) in Southern Brandenburg, Germany",European Journal Of Wildlife Research,2012,58,1,85-97,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",1612-4642,10.1007/s10344-011-0546-6,Article
1253,"Suld, K; Saarma, U; Valdmann, H",Home ranges of raccoon dogs in managed and natural areas,Plos One,2017,12,3,NA,PUBLIC LIBRARY SCIENCE,"1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA",1932-6203,10.1371/journal.pone.0171805,Article
1254,"Levanen, R; Pohjoismaki, JLO; Kunnasranta, M",Home ranges of semi-urban brown hares (Lepus europaeus) and mountain hares (Lepus timidus) at northern latitudes,Annales Zoologici Fennici,2019,56,01/Jun,107-120,FINNISH ZOOLOGICAL BOTANICAL PUBLISHING BOARD,"P O BOX 26, FI-00014 UNIV HELSINKI, FINLAND",0003-455X,10.5735/086.056.0110,Article
1255,"OHDACHI, S","HOME RANGES OF SYMPATRIC SORICINE SHREWS IN HOKKAIDO, JAPAN",Acta Theriologica,1992,37,01/Feb,91-101,POLISH ACAD SCIENCES,"MAMMAL RESEARCH INST, 17-230 BIALOWIEZA, POLAND",0001-7051,10.4098/AT.arch.92-10,Article
1256,"Rodrigues, FHG; Marinho, J; dos Santos, HG",Home ranges of translocated lesser anteaters Tamandua tetradactyla in the cerrado of Brazil,Oryx,2001,35,2,166-169,BLACKWELL SCIENCE LTD,"P O BOX 88, OSNEY MEAD, OXFORD OX2 0NE, OXON, ENGLAND",0030-6053,10.1046/j.1365-3008.2001.00162.x,Article
1257,"Scinski, M; Borowski, Z","Home ranges, nest sites and population dynamics of the forest dormouse Dryomys nitedula (Pallas) in an oak-hornbeam forest: A live-trapping and radio-tracking study",Polish Journal Of Ecology,2006,54,3,391-396,POLISH ACAD SCIENCES INST ECOLOGY,"DZIEKANOW LESNY NEAR WARSAW, 05-092 LOMIANKI, POLAND",1505-2249,NA,Article
1258,"McQualter, KN; Chase, MJ; Fennessy, JT; McLeod, SR; Leggett, KEA","Home ranges, seasonal ranges and daily movements of giraffe (Giraffa camelopardalis giraffa) in northern Botswana",African Journal Of Ecology,2016,54,1,99-102,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0141-6707,10.1111/aje.12232,Article
1259,"Neri-Arboleda, I; Stott, P; Arboleda, NP","Home ranges, spatial movements and habitat associations of the Philippine tarsier (Tarsius syrichta) in Corella, Bohol",Journal Of Zoology,2002,257,3,387-402,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0952-8369,10.1017/S0952836902000997,Article
1260,"Comport, SS; Ward, SJ; Foley, WJ","Home ranges, time budgets and food-tree use in a high-density tropical population of greater gliders, Petauroides volans minor (Pseudocheiridae: Marsupialia)",Wildlife Research,1996,23,4,401-419,C S I R O PUBLICATIONS,"150 OXFORD ST, PO BOX 1139, COLLINGWOOD VICTORIA 3066, AUSTRALIA",1035-3712,10.1071/WR9960401,Article
1261,"Campelo, AC; Souza-Alves, JP; de Lima, IMS; Araujo, ACL; Oliveira-Silva, LRB; Bezerra, B","Home sweet home? Adjustments in the ecology, behaviour and vocalisations of Amazonian squirrel monkeys inhabiting an Atlantic forest fragment",Ethology Ecology \& Evolution,2019,31,2,173--197,Taylor \& Francis,NA,NA,10.1080/03949370.2018.1522517,Article
1262,"Jackson, SM","Home-range and den use of the mahogany glider, Petaurus gracilis",Wildlife Research,2000,27,1,49-60,C S I R O PUBLISHING,"150 OXFORD ST, PO BOX 1139, COLLINGWOOD, VICTORIA 3066, AUSTRALIA",1035-3712,10.1071/WR98046,Article
1263,"BATZLI, GO; HENTTONEN, H",HOME-RANGE AND SOCIAL-ORGANIZATION OF THE SINGING VOLE (MICROTUS-MIURUS),Journal Of Mammalogy,1993,74,4,868-878,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0022-2372,10.2307/1382425,Article
1264,"SWIHART, RK",HOME-RANGE ATTRIBUTES AND SPATIAL STRUCTURE OF WOODCHUCK POPULATIONS,Journal Of Mammalogy,1992,73,3,604-618,AMER SOC MAMMALOGISTS,"BRIGHAM YOUNG UNIV, DEPT OF ZOOLOGY, PROVO, UT 84602",0022-2372,10.2307/1382032,Article
1265,"Gosse, JW; Cox, R; Avery, SW",Home-range characteristics and habitat use by American martens in Eastern Newfoundland,Journal Of Mammalogy,2005,86,6,1156-1163,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0022-2372,10.1644/1545-1542(2005)86[1156:HCAHUB]2.0.CO;2,Article
1266,"Savini, T; Boesch, C; Reichard, UH","Home-range characteristics and the influence of seasonality on female reproduction in white-handed gibbons (Hylobates lar) at Khao Yai National Park, Thailand",American Journal Of Physical Anthropology,2008,135,1,01/Dec,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0002-9483,10.1002/ajpa.20578,Article
1267,"HORSUP, A","HOME-RANGE OF THE ALLIED ROCK-WALLABY, PETROGALE-ASSIMILIS",Wildlife Research,1994,21,1,65-84,C S I R O PUBLICATIONS,"150 OXFORD ST, PO BOX 1139, COLLINGWOOD VICTORIA 3066, AUSTRALIA",1035-3712,10.1071/WR9940065,Article
1268,"Kolbe, NR; Weckerly, FW",Home-range overlap of Roosevelt elk herds in the Bald Hills of Redwood National Park,California Fish And Game,2015,101,4,208-217,CALIFORNIA FISH AND GAME EDITOR,"1416 NINTH ST, SACRAMENTO, CA 95814 USA",0008-1078,NA,Article
1269,"Drake, EM; Cypher, BL; Ralls, K; Perrine, JD; White, R; Coonan, TJ",HOME-RANGE SIZE AND HABITAT SELECTION BY MALE ISLAND FOXES (UROCYON LITTORALIS) IN A LOW-DENSITY POPULATION,Southwestern Naturalist,2015,60,02/Mar,247-255,SOUTHWESTERN ASSOC NATURALISTS,"SOUTHWEST TEXAS STATE UNIV, DEPT BIOLOGY, 601 UNIVERSITY DR, SAN MARCOS",0038-4909,10.1894/SWNAT-D-14-00021.1,Article
1270,"HUBRECHT, RC","HOME-RANGE SIZE AND USE AND TERRITORIAL BEHAVIOR IN THE COMMON MARMOSET, CALLITHRIX-JACCHUS-JACCHUS, AT THE TAPACURA FIELD STATION, RECIFE, BRAZIL",International Journal Of Primatology,1985,6,5,533-550,PLENUM PUBL CORP,"233 SPRING ST, NEW YORK, NY 10013",0164-0291,10.1007/BF02735575,Article
1271,"Gaulin, S. J. C., and R. W. FitzGerald.",Home-range size as a predictor of mating systems in Microtus 69:311-319.,Journal of Mammalogy,1988,69,NA,311-319,AMER SOC MAMMALOGISTS,"BRIGHAM YOUNG UNIV, DEPT OF ZOOLOGY, PROVO, UT 84602",NA,https://doi.org/10.2307/1381381,Article
1272,"LARTER, NC; GATES, CC","HOME-RANGE SIZE OF WOOD BISON - EFFECTS OF AGE, SEX, AND FORAGE AVAILABILITY",Journal Of Mammalogy,1994,75,1,142-149,AMER SOC MAMMALOGISTS,"BRIGHAM YOUNG UNIV, DEPT OF ZOOLOGY, PROVO, UT 84602",0022-2372,10.2307/1382246,Article
1273,"Hulbert, IAR; Iason, GR; Elston, DA; Racey, PA",Home-range sizes in a stratified upland landscape of two lagomorphs with different feeding strategies,Journal Of Applied Ecology,1996,33,6,1479-1488,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0021-8901,10.2307/2404786,Article
1274,"Wang, Y; Liu, W; Wang, G; Wan, X; Zhong, W",Home-range sizes of social groups of Mongolian gerbils Meriones unguiculatus,Journal Of Arid Environments,2011,75,2,132-137,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",0140-1963,10.1016/j.jaridenv.2010.08.008,Article
1275,"ABLES, ED",HOME-RANGE STUDIES OF RED FOXES (VULPES VULPES),JOURNAL OF MAMMALOGY,1969,50,1,108--120,American Society of Mammalogists,"810 East 10th Street, PO Box 1897, Lawrence",NA,10.2307/1378635,Article
1276,"Smith, DAE; Smith, YCE; Cheyne, SM","Home-Range Use and Activity Patterns of the Red Langur (Presbytis rubicunda) in Sabangau Tropical Peat-Swamp Forest, Central Kalimantan, Indonesian Borneo",International Journal Of Primatology,2013,34,5,957-972,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",0164-0291,10.1007/s10764-013-9715-7,Article
1277,"White, EC; Dikangadissi, JT; Dimoto, E; Karesh, WB; Kock, MD; Abiaga, NO; Starkey, R; Ukizintambara, T; White, LJT; Abernethy, KA",Home-range Use by a Large Horde of Wild Mandrillus sphinx,International Journal Of Primatology,2010,31,4,627-645,SPRINGER,"233 SPRING ST, NEW YORK, NY 10013 USA",0164-0291,10.1007/s10764-010-9417-3,Article
1278,"Aliaga-Rossel, E; Kays, RW; Fragoso, JMV","Home-range use by the Central American agouti (Dasyprocta punctata) on Barro Colorado Island, Panama",Journal Of Tropical Ecology,2008,24,4,367-374,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA",0266-4674,10.1017/S0266467408005129,Article
1279,"Valenzuela, D; Macdonald, DW",Home-range use by white-nosed coatis (Nasua narica): limited water and a test of the resource dispersion hypothesis,Journal Of Zoology,2002,258,2,247-256,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0952-8369,10.1017/S0952836902001358,Article
1280,"Makelainen, S; de Knegt, HJ; Ovaskainen, O; Hanski, IK",Home-range use patterns and movements of the Siberian flying squirrel in urban forests: Effects of habitat composition and connectivity,Movement Ecology,2016,4,NA,NA,BMC,"CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",2051-3933,10.1186/s40462-016-0071-z,Article
1281,"Avenant, N. L., and J. A. J. Nel.","Home-range use, activity, and density of caracal in relation to prey density African Journal of Ecology 36:347-359.",African Journal Of Ecology,1998,36,4,347-359,BLACKWELL SCIENCE LTD,"P O BOX 88, OSNEY MEAD, OXFORD OX2 0NE, OXON, ENGLAND",0141-6707,10.1046/j.1365-2028.1998.00152.x,Article
1282,"Corlatti, L; Bethaz, S; von Hardenberg, A; Bassano, B; Palme, R; Lovari, S","Hormones, parasites and male mating tactics in Alpine chamois: identifying the mechanisms of life history trade-offs",Animal Behaviour,2012,84,4,1061-1070,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",0003-3472,10.1016/j.anbehav.2012.08.005,Article
1283,"Petrunenko, YK; Seryodkin, IV; Bragina, EV; Soutyrina, SS; Mukhacheva, AS; Rybin, NN; Miquelle, DG",How does a tigress balance the opposing constraints of raising cubs?,Mammal Research,2020,65,2,245-253,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY",2199-2401,10.1007/s13364-019-00466-x,Article
1284,"Dolado, R; Cooke, C; Beltran, FS",How Many for Lunch Today? Seasonal Fission-Fusion Dynamics as a Feeding Strategy in Wild Red-Capped Mangabeys (Cercocebus torquatus),Folia Primatologica,2016,87,3,197--212,Karger Publishers,NA,NA,10.1159/000449220,Article
1285,"Sabol, AC; Solomon, NG; Dantzer, B",How to Study Socially Monogamous Behavior in Secretive Animals? Using Social Network Analyses and Automated Tracking Systems to Study the Social Behavior of Prairie Voles,Frontiers In Ecology And Evolution,2018,NA,NA,178,Frontiers,NA,NA,10.3389/fevo.2018.00178,Article
1286,"Dolev, A; Saltz, D; Bar-David, S; Yom-Tov, Y",Impact of repeated releases on space-use patterns of Persian fallow deer,Journal Of Wildlife Management,2002,66,3,737-746,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0022-541X,10.2307/3803139,Article
1287,"Bose, S; Forrester, TD; Brazeal, JL; Sacks, BN; Casady, DS; Wittmer, HU",Implications of fidelity and philopatry for the population structure of female black-tailed deer,Behavioral Ecology,2017,28,4,983-990,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",1045-2249,10.1093/beheco/arx047,Article
1288,"Wilson, RF; Marsh, H; Winter, J",Importance of canopy connectivity for home range and movements of the rainforest arboreal ringtail possum (Hemibelideus lemuroides),Wildlife Research,2007,34,3,177-184,CSIRO PUBLISHING,"UNIPARK, BLDG 1, LEVEL 1, 195 WELLINGTON RD, LOCKED BAG 10, CLAYTON, VIC",1035-3712,10.1071/WR06114,Article
1289,"Kirby, RB; Cherry, MJ; Muller, LI; Warren, RJ; Chamberlain, MJ; Conner, LM",Indirect predation management in a longleaf pine ecosystem: Hardwood removal and the spatial ecology of raccoons,Forest Ecology And Management,2016,381,NA,327-334,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",0378-1127,10.1016/j.foreco.2016.09.046,Article
1290,"Kanda, LL; Hatzel, JS",Individuality in captive and field measures of behavior and space use in wild muskrat (Ondatra zibethicus),Ethology Ecology \& Evolution,2015,27,3,259-276,TAYLOR \& FRANCIS LTD,"4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",0394-9370,10.1080/03949370.2014.928653,Article
1291,"Lewis, JS; Wartzok, D; Heithaus, MR",Individuals as information sources: Could followers benefit from leaders' knowledge?,Behaviour,2013,150,6,635-657,BRILL,"PLANTIJNSTRAAT 2, P O BOX 9000, 2300 PA LEIDEN, NETHERLANDS",0005-7959,10.1163/1568539X-00003075,Article
1292,"Opperbeck, A; Ylonen, H; Klemme, I",Infanticide and Population Growth in the Bank Vole (Myodes glareolus): The Effect of Male Turnover and Density,Ethology,2012,118,2,178-186,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0179-1613,10.1111/j.1439-0310.2011.01998.x,Article
1293,"LAMBIN, X; KREBS, CJ",INFLUENCE OF FEMALE RELATEDNESS ON THE DEMOGRAPHY OF TOWNSENDS VOLE POPULATIONS IN SPRING,Journal Of Animal Ecology,1993,62,3,536-550,BLACKWELL SCIENCE LTD,"OSNEY MEAD, OXFORD, OXON, ENGLAND OX2 0EL",0021-8790,10.2307/5203,Article
1294,"Corriale, MJ; Muschetto, E; Herrera, EA",Influence of group sizes and food resources in home-range sizes of capybaras from Argentina,Journal Of Mammalogy,2013,94,1,19-28,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0022-2372,10.1644/12-MAMM-A-030.1,Article
1295,"Sprent, J; Nicol, SC",Influence of habitat on home-range size in the short-beaked echidna,Australian Journal Of Zoology,2012,60,1,46-53,CSIRO PUBLISHING,"150 OXFORD ST, PO BOX 1139, COLLINGWOOD, VICTORIA 3066, AUSTRALIA",0004-959X,10.1071/ZO11098,Article
1296,"Frafjord, K",Influence of night length on home range size in the northern bat Eptesicus nilssonii,Mammalian Biology,2013,78,3,205-211,"ELSEVIER GMBH, URBAN \& FISCHER VERLAG","OFFICE JENA, P O BOX 100537, 07705 JENA, GERMANY",1616-5047,10.1016/j.mambio.2012.06.005,Article
1297,"Fuller, AK; Harrison, DJ",Influence of partial timber harvesting on American martens in north-central Maine,Journal Of Wildlife Management,2005,69,2,710-722,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0022-541X,10.2193/0022-541X(2005)069[0710:IOPTHO]2.0.CO;2,Article
1298,"Davis, H; Weir, RD; Hamilton, AN; Deal, JA",Influence of phenology on site selection by female American black bears in coastal British Columbia,Ursus,2006,17,1,41-51,INTERNATIONAL ASSOCIATION FOR BEAR RESEARCH AND MANAGEMENT (IBA),"UNIV, TENNESSEE, 274 ELLINGTON HALL, KNOXVILLE, TN 379996 USA",1537-6176,10.2192/1537-6176(2006)17[41:IOPOSS]2.0.CO;2,Article
1299,"Carrollo, EM; Johnson, HE; Fischer, JW; Hammond, M; Dorsey, PD; Anderson, C; Vercauteren, KC; Walter, WD",Influence of Precipitation and Crop Germination on Resource Selection by Mule Deer (Odocoileus hemionus) in Southwest Colorado,Scientific Reports,2017,7,NA,NA,NATURE PUBLISHING GROUP,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",2045-2322,10.1038/s41598-017-15482-7,Article
1300,"Frafjord, K",Influence of Reproductive Status: Home Range Size in Water Voles (Arvicola amphibius),Plos One,2016,11,4,NA,PUBLIC LIBRARY SCIENCE,"1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA",1932-6203,10.1371/journal.pone.0154338,Article
1301,"Montalvo, VH; Fuller, TK; Saenz-Bolanos, C; Cruz-Diaz, JC; Hagnauer, I; Herrera, H; Carrillo, E",Influence of sea turtle nesting on hunting behavior and movements of jaguars in the dry forest of northwest Costa Rica,Biotropica,2020,52,6,1076-1083,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0006-3606,10.1111/btp.12803,Article
1302,"Litvaitis, J. A., J. T. Major, and J. A. Sherburne.",Influence of season and human-induced mortality on spatial organization of bobcats (Felis rufus) in Maine Journal of Mammalogy 68:100-106.,Journal Of Mammalogy,1987,68,1,100--106,"American Society of Mammalogists 810 East 10th Street, PO Box 1897, Lawrence~…",NA,NA,10.2307/1381051,Article
1303,"Wright, JD; Burt, MS; Jackson, VL",Influences of an Urban Environment on Home Range and Body Mass of Virginia Opossums (Didelphis virginiana),Northeastern Naturalist,2012,19,1,77-86,HUMBOLDT FIELD RESEARCH INST,"PO BOX 9, STEUBEN, ME 04680-0009 USA",1092-6194,10.1656/045.019.0106,Article
1304,"Prange, S; Gehrt, SD; Wiggers, EP",Influences of anthropogenic resources on raccoon (Procyon lotor) movements and spatial distribution,Journal Of Mammalogy,2004,85,3,483-490,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0022-2372,10.1644/BOS-121,Article
1305,"Tarr, MD; Pekins, PJ","Influences of winter supplemental feeding on the energy balance of white-tailed deer fawns in New Hampshire, USA",Canadian Journal Of Zoology-Revue Canadienne De Zoologie,2002,80,1,Jun/15,NATL RESEARCH COUNCIL CANADA,"RESEARCH JOURNALS, MONTREAL RD, OTTAWA, ONTARIO K1A 0R6, CANADA",0008-4301,10.1139/Z01-200,Article
1306,"Cheraghi, F; Delavar, MR; Amiraslani, F; Alavipanah, K; Gurarie, E; Jowkar, H; Hunter, L; Ostrowski, S; Fagan, WF",Inter-dependent movements of Asiatic Cheetahs Acinonyx jubatus venaticus and a Persian Leopard Panthera pardus saxicolor in a desert environment in Iran (Mammalia: Felidae),Zoology In The Middle East,2019,65,4,283-292,TAYLOR \& FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND",0939-7140,10.1080/09397140.2019.1632538,Article
1307,"Wauters, LA; Lurz, PWW; Gurnell, J",Interspecific effects of grey squirrels (Sciurus carolinensis) on the space use and population demography of red squirrels (Sciurus vulgaris) in conifer plantations,Ecological Research,2000,15,3,271-284,BLACKWELL SCIENCE ASIA,"54 UNIVERSITY ST, P O BOX 378, CARLTON, VICTORIA 3053, AUSTRALIA",0912-3814,10.1046/j.1440-1703.2000.00354.x,Article
