Study_ID,Species,subspecies,AUTHORS,TITLE,JOURNAL,YEAR,VOLUME,NUMBER,PAGES,PUBLISHER,ADDRESS,ISSN,DOI_OR_LINK,type
5598,Canis latrans,NA,"Pyrah, D.",Social distribution and population estimates of coyotes in north-central Montana J Wildlife Management 48:670-690.,Journal Of Wildlife Management,1984,48,3,679-690,WILDLIFE SOC,"5410 GROSVENOR LANE, BETHESDA, MD 20814-2197",0022-541X,10.2307/3801415,Article
5625,Dasypus novemcinctus,NA,"McDonough, CM",Social organization of nine-banded armadillos (Dasypus novemcinctus) in a riparian habitat,The American Midland Naturalist,2000,144,1,139--151,BioOne,NA,NA,10.1674/0003-0031(2000)144[0139:SOONBA]2.0.CO;2,Article
5714,Procyon lotor,NA,"Kamler, JF; Gipson, PS","Space and habitat use by male and female raccoons, Procyon lotor, in Kansas",Canadian Field-Naturalist,2003,117,2,218-223,OTTAWA FIELD-NATURALISTS CLUB,"PO BOX 35069, WESTGATE PO, OTTAWA, ONTARIO K1Z 1A2, CANADA",0008-3550,10.22621/cfn.v117i2.685,Article
5751,Elephantulus myurus,NA,"Hoffmann, S; Bennett, NC; van Vuuren, BJ; Lutermann, H",Space use and the evolution of social monogamy in eastern rock sengis,Ethology,2020,126,4,393-402,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0179-1613,10.1111/eth.12983,Article
5821,Axis axis,NA,"Moe, S. R., and P. Wegge.",Spacing behaviour and habitat use of axis deer (Axis axis) in lowland Nepal Canadian Journal of Zoology 72:1735-1744.,Canadian Journal Of Zoology-Revue Canadienne De Zoologie,1994,72,10,1735-1744,NATL RESEARCH COUNCIL CANADA,"RESEARCH JOURNALS, MONTREAL RD, OTTAWA ON K1A 0R6, CANADA",0008-4301,10.1139/z94-234,Article
5822,Cavia magna,NA,"Kraus, C; Kunkele, J; Trillmich, F",Spacing behaviour and its implications for the mating system of a precocial small mammal: an almost asocial cavy Cavia magna?,Animal Behaviour,2003,66,2,225-238,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",0003-3472,10.1006/anbe.2003.2192,Article
5826,Proechimys semispinosus,NA,"Endries, MJ; Adler, GH","Spacing patterns of a tropical forest rodent, the spiny rat (Proechimys semispinosus), in Panama",Journal Of Zoology,2005,265,2,147-155,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0952-8369,10.1017/S0952836904006144,Article
5849,Microtus lusitanicus,NA,"Santos, SM; Lourenco, RF; Mathias, MD; Mira, AP",Spatial and temporal ecology of the Lusitanian pine vole (Microtus lusitanicus) in a Mediterranean polyculture,Animal Biology,2010,60,2,209-227,BRILL ACADEMIC PUBLISHERS,"PLANTIJNSTRAAT 2, P O BOX 9000, 2300 PA LEIDEN, NETHERLANDS",1570-7555,10.1163/157075610X496306,Article
5862,Arvicanthis niloticus,NA,"Hoffmann, A; Eckhoff, K; Klingel, H","Spatial and temporal patterns in Arvicanthis niloticus (Desmarest, 1822) as revealed by radio-tracking",African Journal Of Ecology,2006,44,1,72-76,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0141-6707,10.1111/j.1365-2028.2006.00617.x,Article
5864,Talpa europaea,NA,"Macdonald, DW; Atkinson, RPD; Blanchard, G",Spatial and temporal patterns in the activity of European moles,Oecologia,1997,109,1,88-97,SPRINGER VERLAG,"175 FIFTH AVE, NEW YORK, NY 10010",0029-8549,10.1007/s004420050062,Article
5870,Canis lupus,familiaris,"Daniels, T. J., and M. Bekoff.",Spatial and temporal resource use by feral and abandoned dogs Ethology 81:300-312.,Ethology,1989,81,4,300-312,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0179-1613,10.1111/j.1439-0310.1989.tb00776.x,Article
5886,Procyon lotor,NA,"Frantz, AC; Cyriacks, P; Schley, L",Spatial behaviour of a female raccoon (Procyon lotor) at the edge of the species' European distribution range,European Journal Of Wildlife Research,2005,51,2,126-130,SPRINGER,"233 SPRING ST, NEW YORK, NY 10013 USA",1612-4642,10.1007/s10344-005-0091-2,Article
5887,Capra ibex,ibex,"Parrini, F; Grignolio, S; Luccarini, S; Bassano, B; Apollonio, M","Spatial behaviour of adult male Alpine ibex Capra ibex ibex in the Gran Paradiso National Park, Italy",Acta Theriologica,2003,48,3,411-423,POLISH ACAD SCIENCES,"MAMMAL RESEARCH INST, 17-230 BIALOWIEZA, POLAND",0001-7051,10.1007/BF03194179,Article
5892,Taxidea taxus,NA,"Collins, DP; Harveson, LA; Ruthven, DC",SPATIAL CHARACTERISTICS OF AMERICAN BADGERS (TAXIDEA TAXUS) IN SOUTHERN TEXAS,Southwestern Naturalist,2012,57,4,473-478,SOUTHWESTERN ASSOC NATURALISTS,"SOUTHWEST TEXAS STATE UNIV, DEPT BIOLOGY, 601 UNIVERSITY DR, SAN MARCOS",0038-4909,10.1894/0038-4909-57.4.473,Article
5902,Callithrix jacchus,NA,"Thompson, CL; Robl, NJ; Melo, LC; Valena-Montenegro, MM; Valle, YBM; de Oliveira, MAB; Vinyard, CJ",Spatial Distribution and Exploitation of Trees Gouged by Common Marmosets (Callithrix jacchus),International Journal Of Primatology,2013,34,1,65-85,SPRINGER,"233 SPRING ST, NEW YORK, NY 10013 USA",0164-0291,10.1007/s10764-012-9647-7,Article
5913,Muscardinus avellanarius,NA,"Juskaitis, R; Keturka, K; Balciauskas, L",Spatial dynamics of a hazel dormouse (Muscardinus avellanarius) population at different densities,Mammal Research,2020,65,1,49-58,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY",2199-2401,10.1007/s13364-019-00452-3,Article
5921,Pseudomys australis,NA,"Young, LI; Dickman, CR; Addison, J; Pavey, CR",Spatial ecology and shelter resources of a threatened desert rodent (Pseudomys australis) in refuge habitat,Journal Of Mammalogy,2017,98,6,1604-1614,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0022-2372,10.1093/jmammal/gyx129,Article
5922,Panthera onca,NA,"Cavalcanti, SMC; Gese, EM","SPATIAL ECOLOGY AND SOCIAL INTERACTIONS OF JAGUARS (PANTHERA ONCA) IN THE SOUTHERN PANTANAL, BRAZIL",Journal Of Mammalogy,2009,90,4,935-945,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0022-2372,10.1644/08-MAMM-A-188.1,Article
5927,Macropus giganteus,NA,"Brunton, EA; Srivastava, SK; Burnett, S",Spatial ecology of an urban eastern grey kangaroo (Macropus giganteus) population: local decline driven by kangaroo-vehicle collisions,Wildlife Research,2018,45,8,685-695,CSIRO PUBLISHING,"UNIPARK, BLDG 1, LEVEL 1, 195 WELLINGTON RD, LOCKED BAG 10, CLAYTON, VIC",1035-3712,10.1071/WR18077,Article
5935,Odocoileus hemionus,NA,"Webb, SL; Dzialak, MR; Houchen, D; Kosciuch, KL; Winstead, JB",SPATIAL ECOLOGY OF FEMALE MULE DEER IN AN AREA PROPOSED FOR WIND ENERGY DEVELOPMENT,Western North American Naturalist,2013,73,3,347-356,BRIGHAM YOUNG UNIV,"290 LIFE SCIENCE MUSEUM, PROVO, UT 84602 USA",1527-0904,10.3398/064.073.0308,Article
5936,Canis aureus,NA,"Admasu, E; Thirgood, SJ; Bekele, A; Laurenson, MK",Spatial ecology of golden jackal in farmland in the Ethiopian Highlands,African Journal Of Ecology,2004,42,2,144-152,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0141-6707,10.1111/j.1365-2028.2004.00497.x,Article
5938,Rattus rattus,NA,"Higgins, TW; Bridges, AS; Sanchez, JN","SPATIAL ECOLOGY OF INVASIVE BLACK RATS (RATTUS RATTUS) ON SAN CLEMENTE ISLAND, CALIFORNIA",Southwestern Naturalist,2015,60,02/Mar,186-192,SOUTHWESTERN ASSOC NATURALISTS,"SOUTHWEST TEXAS STATE UNIV, DEPT BIOLOGY, 601 UNIVERSITY DR, SAN MARCOS",0038-4909,10.1894/SWNAT-D-14-00020.1,Article
5940,Hippopotamus amphibius,NA,"Stears, K; Nunez, TA; Muse, EA; Mutayoba, BM; McCauley, DJ",Spatial ecology of male hippopotamus in a changing watershed,Scientific Reports,2019,9,NA,NA,NATURE PUBLISHING GROUP,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",2045-2322,10.1038/s41598-019-51845-y,Article
5941,Dromiciops gliroides,NA,"Fonturbel, FE; Silva-Rodriguez, EA; Cardenas, NH; Jimenez, JE",Spatial ecology of monito del monte (Dromiciops gliroides) in a fragmented landscape of southern Chile,Mammalian Biology,2010,75,1,01/Sep,"ELSEVIER GMBH, URBAN \& FISCHER VERLAG","OFFICE JENA, P O BOX 100537, 07705 JENA, GERMANY",1616-5047,10.1016/j.mambio.2009.08.004,Article
5954,Gulo gulo,NA,"Inman, RM; Packila, ML; Inman, KH; Mccue, AJ; White, GC; Persson, J; Aber, BC; Orme, ML; Alt, KL; Cain, SL; Fredrick, JA; Oakleaf, BJ; Sartorius, SS",Spatial ecology of wolverines at the southern periphery of distribution,Journal Of Wildlife Management,2012,76,4,778-792,WILEY-BLACKWELL,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0022-541X,10.1002/jwmg.289,Article
5961,Odocoileus virginianus,NA,"HOLZENBEIN, S; MARCHINTON, RL",SPATIAL INTEGRATION OF MATURING-MALE WHITE-TAILED DEER INTO THE ADULT-POPULATION,Journal Of Mammalogy,1992,73,2,326-334,AMER SOC MAMMALOGISTS,"BRIGHAM YOUNG UNIV, DEPT OF ZOOLOGY, PROVO, UT 84602",0022-2372,10.2307/1382065,Article
5963,Microtus pennsylvanicus,NA,"Douglas, R. J.","Spatial interactions and microhabitat selections of two locally sympatric voles, Microtus montanus and Microtus pennsylvanicus Ecology 57:346-352.",Ecology,1976,57,2,346--352,Wiley Online Library,NA,NA,https://doi.org/10.2307/1934823,Article
5971,Propithecus edwardsi,NA,"Erhart, EM; Overdorff, DJ",Spatial memory during foraging in prosimian primates: Propithecus edwardsi and Eulemur fulvus rufus,Folia Primatologica,2008,79,4,185-196,KARGER,"ALLSCHWILERSTRASSE 10, CH-4009 BASEL, SWITZERLAND",0015-5713,10.1159/000112911,Article
5972,Cervus elaphus,NA,"Meisingset, EL; Loe, LE; Brekkum, O; Bischof, R; Rivrud, IM; Lande, US; Zimmermann, B; Veiberg, V; Mysterud, A",Spatial mismatch between management units and movement ecology of a partially migratory ungulate,Journal Of Applied Ecology,2018,55,2,745-753,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0021-8901,10.1111/1365-2664.13003,Article
5984,Meles meles,NA,"Palphramand, KL; Newton-Cross, G; White, PCL",Spatial organization and behaviour of badgers (Meles meles) in a moderate-density population,Behavioral Ecology And Sociobiology,2007,61,3,401--413,Springer,NA,NA,10.1007/s00265-006-0268-z,Article
5985,Meles meles,NA,"Kowalczyk, R; Zalewski, A; Jedrzejewska, B; Jedrzejewski, W","Spatial organization and demography of badgers (Meles meles) in Bialowieza Primeval Forest, Poland, and the influence of earthworms on badger densities in Europe",Canadian Journal Of Zoology,2003,81,1,74--87,"NRC Research Press Ottawa, Canada",NA,NA,10.1139/Z02-233,Article
5997,Dolichotis patagonum,NA,"Taber, A. B., and D. W. MacDonald.",Spatial organization and monogamy in the mara Dolichotis patagonum Journal of Zoology 227:417-438.,Journal Of Zoology,1992,227,3,417--438,Wiley Online Library,NA,NA,https://doi.org/10.1111/j.1469-7998.1992.tb04404.x,Article
6009,Lynx rufus,NA,"Cochrane, JC; Kirby, JD; Jones, IG; Conner, LM; Warren, RJ",Spatial organization of adult bobcats in a longleaf pine-wiregrass ecosystem in southwestern Georgia,Southeastern Naturalist,2006,5,4,711--724,BioOne,NA,NA,10.1656/1528-7092(2006)5[711:SOOABI]2.0.CO;2,Article
6017,Vulpes lagopus,NA,"Eide, NE; Jepsen, JU; Prestrud, P",Spatial organization of reproductive Arctic foxes Alopex lagopus: responses to changes in spatial and temporal availability of prey,Journal Of Animal Ecology,2004,73,6,1056--1068,Wiley Online Library,NA,NA,10.1111/j.0021-8790.2004.00885.x,Article
6019,Glis glis,NA,"Scinski, M; Borowski, Z",Spatial organization of the fat dormouse (Glis glis) in an oak-hornbeam forest during the mating and post-mating season,Mammalian Biology,2008,73,2,119--127,Springer,NA,NA,10.1016/j.mambio.2007.01.002,Article
6020,Mellivora capensis,NA,"Begg, CM; Begg, KS; Du Toit, JT; Mills, MGL",Spatial organization of the honey badger Mellivora capensis in the southern Kalahari: home-range size and movement patterns,Journal Of Zoology,2005,265,1,23--35,Cambridge University Press,NA,NA,10.1017/S0952836904005989,Article
6027,Castor canadensis,NA,"Bloomquist, CK; Nielsen, CK; Shew, JJ",Spatial Organization of Unexploited Beavers (Castor canadensis) in Southern Illinois,The American Midland Naturalist,2012,167,1,188--197,BioOne,NA,NA,10.1674/0003-0031-167.1.188,Article
6040,Nectomys squamipes,NA,"Lima, DO; Pinho, GM; Fernandez, FAS",Spatial patterns of the semi-aquatic rodent Nectomys squamipes in Atlantic forest streams,Journal Of Natural History,2016,50,07/Aug,497-511,TAYLOR \& FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND",0022-2933,10.1080/00222933.2015.1059516,Article
6043,Martes americana,NA,"KATNIK, DD; HARRISON, DJ; HODGMAN, TP",SPATIAL RELATIONS IN A HARVESTED POPULATION OF MARTEN IN MAINE,Journal Of Wildlife Management,1994,58,4,600-607,WILDLIFE SOC,"5410 GROSVENOR LANE, BETHESDA, MD 20814-2197",0022-541X,10.2307/3809672,Article
6045,Spalacopus cyanus,NA,"Lacey, EA; O'Brien, SL; Sobrero, R; Ebensperger, LA",Spatial relationships among free-living cururos (Spalacopus cyanus) demonstrate burrow sharing and communal nesting,Journal Of Mammalogy,2019,100,6,1918-1927,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0022-2372,10.1093/jmammal/gyz117,Article
6047,Loxodonta africana,NA,"Charif, RA; Ramey, RR; Langbauer, WR; Payne, KB; Martin, RB; Brown, LM",Spatial relationships and matrilineal kinship in African savanna elephant (Loxodonta africana) clans,Behavioral Ecology And Sociobiology,2005,57,4,327-338,SPRINGER,"233 SPRING STREET, NEW YORK, NY 10013 USA",0340-5443,10.1007/s00265-004-0867-5,Article
6056,Canis latrans,NA,"Kluever, BM; Gese, EM",Spatial response of coyotes to removal of water availability at anthropogenic water sites,Journal Of Arid Environments,2016,130,NA,68-75,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",0140-1963,10.1016/j.jaridenv.2016.03.009,Article
6061,Meles meles,NA,"Rosalino, LM; Macdonald, DW; Santos-Reis, M",Spatial structure and land-cover use in a low-density Mediterranean population of Eurasian badgers,Canadian Journal Of Zoology,2004,82,9,1493-1502,CANADIAN SCIENCE PUBLISHING,"65 AURIGA DR, SUITE 203, OTTAWA, ON K2E 7W6, CANADA",0008-4301,10.1139/Z04-130,Article
6064,Microtus californicus,NA,"Heske, E. J.",Spatial structuring and dispersal in a high density population of the California vole Microtus californicus Holarctic Ecology 10:137-148.,Holarctic Ecology,1987,10,2,137-148,BLACKWELL MUNKSGAARD,"1 ROSENORNS ALLE, DK-1970 FREDERIKSBERG C, DENMARK",0105-9327,10.1111/j.1600-0587.1987.tb00750.x,Article
6067,Vulpes vulpes,NA,"Drygala, F; Zoller, H",Spatial use and interaction of the invasive raccoon dog and the native red fox in Central Europe: competition or coexistence?,European Journal Of Wildlife Research,2013,59,5,683-691,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",1612-4642,10.1007/s10344-013-0722-y,Article
6094,Zapus hudsonius,preblei,"Trainor, AM; Shenk, TM; Wilson, KR","Spatial, temporal, and biological factors associated with Preble's meadow jumping mouse (Zapus hudsonius preblei) home range",Journal Of Mammalogy,2012,93,2,429-438,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0022-2372,10.1644/11-MAMM-A-049.1,Article
6100,Genetta genetta,NA,"Palomares, F., and M. Delibes.",Spatio-temporal ecology and behavior of European genets in southwestern Spain Journal of Mammalogy 75:714-724.,Journal Of Mammalogy,1994,75,3,714-724,AMER SOC MAMMALOGISTS,"BRIGHAM YOUNG UNIV, DEPT OF ZOOLOGY, PROVO, UT 84602",0022-2372,10.2307/1382521,Article
6115,Lepilemur sahamalaza,NA,"Mandl, I; Holderied, M; Schwitzer, C",Spatiotemporal distribution of individuals as an indicator for the social system of Lepilemur sahamalaza,American Journal Of Primatology,2019,81,6,NA,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0275-2565,10.1002/ajp.22984,Article
6135,Leptailurus serval,NA,"Ramesh, T; Kalle, R; Downs, CT",Spatiotemporal variation in resource selection of servals: insights from a landscape under heavy land-use transformation,Journal Of Mammalogy,2016,97,2,554-567,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0022-2372,10.1093/jmammal/gyv201,Article
6147,Ateles geoffroyi,NA,"Asensio, N; Lusseau, D; Schaffner, CM; Aureli, F",Spider monkeys use high-quality core areas in a tropical dry forest,Journal Of Zoology,2012,287,4,250-258,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0952-8369,10.1111/j.1469-7998.2012.00911.x,Article
6182,Peromyscus leucopus,NA,"Gaitan, J; Millien, V","Stress level, parasite load, and movement pattern in a small-mammal reservoir host for Lyme disease",Canadian Journal Of Zoology,2016,94,8,565-573,"CANADIAN SCIENCE PUBLISHING, NRC RESEARCH PRESS","65 AURIGA DR, SUITE 203, OTTAWA, ON K2E 7W6, CANADA",0008-4301,10.1139/cjz-2015-0225,Article
6200,Thrichomys pachyurus,NA,"Oliveira-Santos, LGR; Antunes, PC; Zucco, CA; Fernandez, FAS",Suitable animal movement indexes or just geometric correlations? A comment on Puttker et al. 2012,Journal Of Mammalogy,2013,94,4,948--953,"American Society of Mammalogists 810 East 10th Street, PO Box 1897, Lawrence~…",NA,NA,10.1644/12-MAMM-A-139.1,Article
6204,Canis latrans,NA,"Tremblay, JP; Crete, M; Huot, J",Summer foraging behaviour of eastern coyotes in rural versus forest landscape: A possible mechanism of source-sink dynamics,Ecoscience,1998,5,2,172-182,UNIVERSITE LAVAL,"PAVILLON ALEXANDRE-VACHON, UNIV LAVAL, ST FOY, QUEBEC G1K 7P4, CANADA",1195-6860,10.1080/11956860.1998.11682456,Article
6209,Alces alces,NA,"Leptich, D. J., and J. R. Gilbert.",Summer home range and habitat use by moose in northern Maine Journal of Wildlife Management 53:880-885.,Journal Of Wildlife Management,1989,53,4,880-885,WILDLIFE SOC,"5410 GROSVENOR LANE, BETHESDA, MD 20814-2197",0022-541X,10.2307/3809581,Article
6218,Ursus maritimus,NA,"Pongracz, JD; Derocher, AE",Summer refugia of polar bears (Ursus maritimus) in the southern Beaufort Sea,Polar Biology,2017,40,4,753-763,SPRINGER,"233 SPRING ST, NEW YORK, NY 10013 USA",0722-4060,10.1007/s00300-016-1997-8,Article
6233,Hoolock hoolock,NA,"Islam, M; Choudhury, P; Bhattacharjee, PC","Survey and Census of Hoolock Gibbon (Hoolock hoolock) in the Inner-Line Reserve Forest and the Adjoining Areas of Cachar District, Assam, India",Folia Primatologica,2013,84,03/May,170-179,KARGER,"ALLSCHWILERSTRASSE 10, CH-4009 BASEL, SWITZERLAND",0015-5713,10.1159/000351695,Article
6241,Sus scrofa,NA,"Hayes, R; Riffell, S; Minnis, R; Holder, B",Survival and Habitat Use of Feral Hogs in Mississippi,Southeastern Naturalist,2009,8,3,411-426,HUMBOLDT FIELD RESEARCH INST,"PO BOX 9, STEUBEN, ME 04680-0009 USA",1528-7092,10.1656/058.008.0304,Article
6273,Vulpes velox,NA,"Harrison, RL","Swift fox demography, movements, denning, and diet in New Mexico",Southwestern Naturalist,2003,48,2,261-273,SOUTHWESTERN ASSN NATURALISTS,"SOUTHWEST TEXAS STATE UNIV, DEPT BIOLOGY, 601 UNIVERSITY DR, SAN MARCOS",0038-4909,10.1894/0038-4909(2003)048<0261:SFDMDA>2.0.CO;2,Article
6281,Muntiacus reevesi,NA,"CHAPMAN, NG; CLAYDON, K; CLAYDON, M; FORDE, PG; HARRIS, S","SYMPATRIC POPULATIONS OF MUNTJAC (MUNTIACUS-REEVESI) AND ROE DEER (CAPREOLUS-CAPREOLUS) - A COMPARATIVE-ANALYSIS OF THEIR RANGING BEHAVIOR, SOCIAL-ORGANIZATION AND ACTIVITY",Journal Of Zoology,1993,229,4,623-640,OXFORD UNIV PRESS UNITED KINGDOM,"WALTON ST JOURNALS DEPT, OXFORD, ENGLAND OX2 6DP",0952-8369,10.1111/j.1469-7998.1993.tb02660.x,Article
6305,Lynx lynx,NA,"Mattisson, J; Persson, J; Andren, H; Segerstrom, P","Temporal and spatial interactions between an obligate predator, the Eurasian lynx (Lynx lynx), and a facultative scavenger, the wolverine (Gulo gulo)",Canadian Journal Of Zoology-Revue Canadienne De Zoologie,2011,89,2,79-89,"CANADIAN SCIENCE PUBLISHING, NRC RESEARCH PRESS","1200 MONTREAL ROAD, BUILDING M-55, OTTAWA, ON K1A 0R6, CANADA",0008-4301,10.1139/Z10-097,Article
6308,Vulpes vulpes,NA,"Gosselink, TE; Van Deelen, TR; Warner, RE; Joselyn, MG",Temporal habitat partitioning and spatial use of coyotes and red foxes in east-central Illinois,Journal Of Wildlife Management,2003,67,1,90-103,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0022-541X,10.2307/3803065,Article
6366,Rhinolophus ferrumequinum,NA,"Fonderflick, J; Azam, C; Brochier, C; Cosson, E; Quekenborn, D",Testing the relevance of using spatial modeling to predict foraging habitat suitability around bat maternity: A case study in Mediterranean landscape,Biological Conservation,2015,192,NA,120-129,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0006-3207,10.1016/j.biocon.2015.09.012,Article
6386,Bassaricyon medius,NA,"Kays, RW",The behavior and ecology of olingos (Bassaricyon gabbii) and their competition with kinkajous (Potos flavus) in central Panama,Mammalia,2000,64,1,01/Sep,WALTER DE GRUYTER GMBH,"GENTHINER STRASSE 13, D-10785 BERLIN, GERMANY",0025-1461,10.1515/mamm.2000.64.1.1,Article
6428,Lynx lynx,NA,"Walton, Z; Mattisson, J; Linnell, JDC; Stien, A; Odden, J",The cost of migratory prey: seasonal changes in semi-domestic reindeer distribution influences breeding success of Eurasian lynx in northern Norway,Oikos,2017,126,5,642-650,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0030-1299,10.1111/oik.03374,Article
6456,Halichoerus grypus,NA,"Harvey, V; Cote, SD; Hammill, MO",The ecology of 3-D space use in a sexually dimorphic mammal,Ecography,2008,31,3,371-380,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0906-7590,10.1111/j.0906-7590.2008.05218.x,Article
6463,Vulpes vulpes,NA,"Rosatte, R; Allan, M","The Ecology of Red Foxes, Vulpes vulpes, in Metropolitan Toronto, Ontario: Disease Management Implications",Canadian Field-Naturalist,2009,123,3,215-220,OTTAWA FIELD-NATURALISTS CLUB,"PO BOX 35069, WESTGATE PO, OTTAWA, ONTARIO K1Z 1A2, CANADA",0008-3550,10.22621/cfn.v123i3.967,Article
6468,Erythrocebus patas,NA,"Gonzalez-Martinez, J",The ecology of the introduced patas monkey (Erythrocebus patas) population of southwestern Puerto Rico,American Journal Of Primatology,1998,45,4,351-365,WILEY-LISS,"DIV JOHN WILEY \& SONS INC, 605 THIRD AVE, NEW YORK, NY 10158-0012 USA",0275-2565,10.1002/(SICI)1098-2345(1998)45:4<351::AID-AJP3>3.0.CO;2-V,Article
6470,Canis mesomelas,NA,"Fuller, T. K., A. R. Biknevicius, P. W. Kat, B. van valkenburgh, and R. K. Wayne.",The ecology of three sympatric jackal species in the Rift Valley of Kenya African Journal of Ecology 27:313-323.,African Journal Of Ecology,1989,27,4,313--323,Wiley Online Library,NA,NA,https://doi.org/10.1111/j.1365-2028.1989.tb01025.x,Article
6471,Mustela nivalis,NA,"MacDonald, DW; Tew, TE; Todd, IA",The ecology of weasels (Mustela nivalis) on mixed farmland in southern England,Biologia,2004,59,2,235-241,VERSITA,"SOLIPSKA 14A-1, 02-482 WARSAW, POLAND",0006-3088,NA,Article
6473,Sus scrofa,NA,"Dexter, N",The effect of an intensive shooting exercise from a helicopter on the behaviour of surviving feral pigs,Wildlife Research,1996,23,4,435-441,C S I R O PUBLICATIONS,"150 OXFORD ST, PO BOX 1139, COLLINGWOOD VICTORIA 3066, AUSTRALIA",1035-3712,10.1071/WR9960435,Article
6531,Mungos mungo,NA,"Gilchrist, JS; Otali, E","The effects of refuse-feeding on home-range use, group size, and intergroup encounters in the banded mongoose",Canadian Journal Of Zoology,2002,80,10,1795-1802,CANADIAN SCIENCE PUBLISHING,"65 AURIGA DR, SUITE 203, OTTAWA, ON K2E 7W6, CANADA",0008-4301,10.1139/Z02-113,Article
6546,Leontocebus fuscicollis,NA,"Lledo-Ferrer, Y; Pelaez, F; Heymann, EW",The Equivocal Relationship Between Territoriality and Scent Marking in Wild Saddleback Tamarins (Saguinus fuscicollis),International Journal Of Primatology,2011,32,4,974-991,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",0164-0291,10.1007/s10764-011-9516-9,Article
6576,Canis lupus,NA,"Kaczensky, P; Enkhsaikhan, N; Ganbaatar, O; Walzer, C",The Great Gobi B Strictly Protected Area in Mongolia - refuge or sink for wolves Canis lupus in the Gobi?,Wildlife Biology,2008,14,4,444-456,WILDLIFE BIOLOGY,"C/O JAN BERTELSEN, GRENAAVEJ 14, KALO, DK-8410 RONDE, DENMARK",0909-6396,10.2981/0909-6396-14.4.444,Article
6587,Capra pyrenaica,NA,"Escos, J., and C. L. Alados.",The home-range of the Spanish ibex in spring and fall Mammalia 56:57-63.,Mammalia,1992,56,1,57-63,MUSEUM NAT HIST NATURELLE,"55 RUE DE BUFFON, 75005 PARIS, FRANCE",0025-1461,10.1515/mamm.1992.56.1.57,Article
6617,Neotamias amoenus,NA,"Trombulak, S. C.",The Influence of Interspecific Competition on Home Range Size in Chipmunks () Journal of Mammalogy 66:329-337.,Journal Of Mammalogy,1985,66,2,329-337,AMER SOC MAMMALOGISTS,"BRIGHAM YOUNG UNIV, DEPT OF ZOOLOGY, PROVO, UT 84602",0022-2372,10.2307/1381245,Article
6630,Antechinus swainsonii,NA,"Sanecki, GM; Green, K; Wood, H; Lindenmayer, D; Sanecki, KL",The influence of snow cover on home range and activity of the bush-rat (Rattus fuscipes) and the dusky antechinus (Antechinus swainsonii),Wildlife Research,2006,33,6,489-496,CSIRO PUBLISHING,"150 OXFORD ST, PO BOX 1139, COLLINGWOOD, VICTORIA 3066, AUSTRALIA",1035-3712,10.1071/WR05012,Article
6659,Peromyscus maniculatus,NA,"Ribble, DO; Millar, JS",The mating system of northern populations of Peromyscus maniculatus as revealed by radiotelemetry and DNA fingerprinting,Ecoscience,1996,3,4,423-428,UNIVERSITE LAVAL,"PAVILLON CHARLES-EUGENE MARCHAND, LOCAL 0166, ST FOY, QUEBEC G1K 7P4",1195-6860,10.1080/11956860.1996.11682359,Article
